Rat_ID,Litter,From Kathryn or not  (Kathryn may not have culled on P1),Cage (pair-housed_ if uneven last three together),Generation,Line,"Treatment_group (EC=Enriched Cage Control, EE=Environmental Enrichment, NIL=Standard Housing, SD=Social Defeat)",Enrichment,Social_Defeat,distance_open_field ,time_centre_open_field,time_open_arms_EPM,time_social_avoidance_Ethovision,time_social_interaction_EthoVision,time_other_areas_in_SI_Test_EthoVision,time_on_top_of_stimulus_animal_Ethovision,time_on_top_of_stimulus_animal_Video,time_approaching_stimulus_animal_Video,time_other_behav_in_SI_Test_Video,cranky_USVs,happy_USVs,SD Dates,D1 Aggressor ID,SD d1 score,SD d1 time caged (min),D2 Aggressor ID,SD d2 score,SD d2 time caged (min),D3 Aggressor ID,SD d3 score,SD d3 time caged (min),D4 Aggressor ID,SD d4 score,SD d4 time caged (min),SUB_DefeatDay1,AGG_DefeatDay1,OTHER_DefeatDay1,SUB_DefeatDay2,AGG_DefeatDay2,OTHER_DefeatDay2,SUB_DefeatDay3,AGG_DefeatDay3,OTHER_DefeatDay3,SUB_DefeatDay4,AGG_DefeatDay4,OTHER_DefeatDay4,date_of_sac,CORT,testosterone,Oxytocin (pg/ml),IL-6 (pg/ml)
H01-2 A1,H01-2,N,H01-2A,F49,bHR,HR EE,EE,NIL,4357.94,7.579734928,35.25276229,13.18607788,60.14056218,26.67335994,1.840696959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,
H01-2 A2,H01-2,N,H01-2A,F49,bHR,HR EE,EE,NIL,5411,6.730936595,33.98058277,8.436558038,62.80549041,28.75795156,1.773761952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,
H01-2 B1,H01-2,N,H01-2B,F49,bHR,HR EE,EE,NIL,5473.99,5.670964707,47.5058582,14.26180131,51.28891937,34.44927933,1.841312525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,
H01-2 B2,H01-2,N,H01-2B,F49,bHR,HR EE,EE,NIL,3321.902,0,41.81452943,7.967860815,58.68764584,33.34449335,2.041498634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,
H01-2 C1,H01-2,N,H01-2B,F49,bHR,HR EE,EE,NIL,3692.149,3.044708333,37.81793785,15.52878304,46.9544853,37.51673166,2.075661471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,
H02-1 C2,H02-1,N,H02-1A,F49,bHR,HR EE,EE,NIL,4180.87,3.091664171,36.82624649,7.766989908,54.26849691,37.96451318,1.740294115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,
H02-2 A1,H02-2,N,H02-2A,F49,bHR,HR NIL + SD,NIL,SD,3213.052,1.876875,2.643908675,13.32440619,55.5406771,31.13491671,1.941098799,,,,,,2/1-5/1 2016,19,4,0.5,11,4,5.5,6,4,1.08,15,2,15,9.375,21.875,68.75,1.709401709,2.564102564,95.72649573,18.34862385,19.26605505,62.3853211,,,,9-Jan-16,,,,
H02-2 A2,H02-2,N,H02-2A,F49,bHR,HR NIL + SD,NIL,SD,4039.522,1.893151132,20.95748261,14.16136619,50.38500129,35.45363252,2.276532044,,,,,,2/1-5/1 2016,18,2,15,10,2,15,5,4,1,14,4,12.5,0.459770115,0.689655172,98.85057471,0.257069409,7.455012853,92.28791774,8.333333333,10.18518519,81.48148148,,,,9-Jan-16,,,,
H02-2 B1,H02-2,N,H02-2B,F49,bHR,HR NIL + SD,NIL,SD,3763.635,3.619468098,17.30833626,13.82195308,46.92101813,39.25702879,2.644794147,,,,,,2/1-5/1 2016,15,4,3.7,8,4,3.35,19,4,0.45,11,4,5.88,7.120743034,24.14860681,68.73065015,2.762430939,28.72928177,68.50828729,12.5,20.83333333,66.66666667,,,,9-Jan-16,,,,
H02-2 B2,H02-2,N,H02-2B,F49,bHR,HR NIL + SD,NIL,SD,4071.85,15.89602433,23.80314666,10.97724173,52.4096395,36.61311877,2.042182763,,,,,,2/1-5/1 2016,14,4,1.88,7,4,4.83,18,4,4.15,19,4,3.33,20.98765432,6.172839506,72.83950617,8.467741935,2.822580645,88.70967742,16.18037135,0.530503979,83.28912467,,,,9-Jan-16,,,,
H03A1,H03,N,H03A,F56,bHR,HR EE,EE,NIL,4146.653966,3.031984211,19.59865818,8.383495487,64.52606548,27.09043903,26.87849711,32.31,28.62,39.06,41.44805876,58.55194124,,,,,,,,,,,,,,,,,,,,,,,,,,25-Oct-17,196300,544.2,,41.36
H03A2,H03,N,H03A,F56,bHR,HR EE,EE,NIL,4783.276207,4.505986421,40.60207962,6.644381047,68.0378064,25.31781255,21.23574602,24.16,38.58,37.27,27.82462057,72.17537943,,,,,,,,,,,,,,,,,,,,,,,,,,25-Oct-17,55940,538.2,,30.04
H03A3,H03,N,H03A,F56,bHR,HR EE,EE,NIL,6008.981034,0.904658133,9.910801781,4.983294147,75.86397188,19.15273397,37.41375332,42.96,30.24,26.8,6.245614035,93.75438596,,,,,,,,,,,,,,,,,,,,,,,,,,25-Oct-17,129700,727.15,,32.7
H03B1,H03,N,H03B,F56,bHR,HR EE + SD,EE,SD,2921.676897,2.703666056,1.850613886,12.57524323,42.18503865,45.23971812,6.577490744,6.34,34.94,58.72,5.625,94.375,18 - 21 Oct 2017,1,4,0.67,11,4,1.5,9,5,2,2A,4,10,11.46,5.38,83.16,41.97,6.19,51.84,0,17.66,82.34,16.97,0.79,82.24,25-Oct-17,214900,510.95,75.96,31.61
H03B2,H03,N,H03B,F56,bHR,HR EE + SD,EE,SD,5770.775862,4.284821123,9.676685719,5.607581347,65.00566895,29.3867497,11.96209327,19.45,40.18,40.38,38.10679612,61.89320388,18 - 21 Oct 2017,4,5,0.25,19,4,0.33,8,5,0.5,18,4,2.17,0,13.84,86.16,16.62,9.43,73.95,0,18,82,56.1,9.28,34.62,25-Oct-17,249300,135.5,71.89,95.9
H03B3,H03,N,H03B,F56,bHR,HR EE + SD,EE,SD,5468.147759,0.508496195,15.02787653,7.759208286,69.50939307,22.73139864,18.90748068,24.88,39.47,35.65,6.426553672,93.57344633,18 - 21 Oct 2017,6,4,2.83,20,4,0.33,7,5,0.33,14,4,0.75,2.56,2.05,95.39,0,10.23,89.77,0,25.98,74.02,40.01,0,59.99,25-Oct-17,209700,980.95,35.49,59.84
H05 A1,H05,N,H05A,F49,bHR,HR EC,EC,NIL,4299.33,6.873429905,23.26749269,26.77376179,21.72021495,51.50602326,2.243053336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,
H05 A2,H05,N,H05A,F49,bHR,HR EC,EC,NIL,3621.429,4.572391007,14.12788714,6.89655154,64.78071743,28.32273103,1.104787314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,
H05 B1,H05,N,H05B,F49,bHR,HR EC,EC,NIL,3347.873,8.357285563,11.34917984,8.871777891,62.20288002,28.92534208,1.908269606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,
H05 B2,H05,N,H05B,F49,bHR,HR EC,EC,NIL,5137.81,11.73072038,31.43622307,10.84700257,57.61633723,31.5366602,2.644795151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,
H05 C1,H05,N,H05C,F49,bHR,HR EC,EC,NIL,6301.38,10.65111295,29.86273987,11.81787706,60.62939482,27.55272812,1.84069629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,
H05 C2,H05,N,H05C,F49,bHR,HR EC,EC,NIL,4674.19,10.40807495,18.24573138,21.9618348,40.04017432,37.99799088,1.539491771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,
H05 C3,H05,N,H05C,F49,bHR,HR EC,EC,NIL,7470.34,15.45797612,6.62650544,7.29829302,63.50853724,29.19316974,1.104787983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,
H06 A1,H06,N,H06D,F49,bHR,HR EE + SD,EE,SD,3507.794,10.41581185,48.17542766,5.523936572,62.16940098,32.30666245,6.561767809,,,,,,3/1 - 6/1 2016,19,4,1,8,4,3.67,15,2,15,6,4,1.5,3.191489362,24.46808511,72.34042553,20.55555556,0.555555556,78.88888889,,,,52.11267606,1.408450704,46.47887324,10-Jan-16,,,,
H06 A2,H06,N,H06D,F49,bHR,HR EE + SD,EE,SD,3561.594,13.9327659,37.89755509,5.557415279,78.07164357,16.37094115,3.781794421,,,,,,3/1 - 6/1 2016,18,4,1,7,4,5.58,14,4,5.17,5,4,5,31.81818182,2.272727273,65.90909091,2.928870293,4.184100418,92.88702929,,,,3.01369863,2.739726027,94.24657534,10-Jan-16,,,,
H06 B1,H06,N,H06E,F49,bHR,HR EE + SD,EE,SD,3184.858,7.149931486,45.56411089,6.561767809,68.22899353,25.20923866,7.764390516,,,,,,3/1 - 6/1 2016,15,4,7.95,6,4,0.87,11,2,15,19,4,4.67,3.671706263,2.375809935,93.9524838,10.60606061,25.75757576,63.63636364,,,,0.314465409,1.257861635,98.42767296,10-Jan-16,,,,
H06 B2,H06,N,H06E,F49,bHR,HR EE + SD,EE,SD,3562.744,12.14485284,43.25410114,7.666555123,66.22028847,26.11315641,10.34136653,,,,,,3/1 - 6/1 2016,14,4,1.33,5,2,15,18,4,11.83,18,4,15,13.08411215,4.672897196,82.24299065,0.41322314,6.714876033,92.87190083,,,,3.869047619,0.148809524,95.98214286,10-Jan-16,,,,
H06 C1,H06,N,H06F,F49,bHR,HR EE + SD,EE,SD,3124.883,11.37237969,32.64144685,6.124497908,80.82329389,13.0522082,13.31994622,,,,,,3/1 - 6/1 2016,6,4,2.5,19,4,0.33,8,4,5.97,15,2,15,3.535353535,12.12121212,84.34343434,11.9047619,19.04761905,69.04761905,,,,4.394141145,1.864181092,93.74167776,10-Jan-16,,,,
H06 C2,H06,N,H06F,F49,bHR,HR EE + SD,EE,SD,3981.461,12.16049378,33.44492746,8.068295935,63.47505887,28.4566452,7.766990243,,,,,,3/1 - 6/1 2016,5,4,1.33,18,4,11.33,7,2,15,14,2,15,9.836065574,7.37704918,82.78688525,1.648351648,0,98.35164835,,,,6.802721088,0,93.19727891,10-Jan-16,,,,
H06A1,H06,N,H06A,F56,bHR,HR NIL + SD,NIL,SD,4259.023276,35.68266967,11.9063402,14.24750081,59.67685295,26.07564624,1.70568601,0,52.49,47.51,40.65934066,59.34065934,19 - 22 Oct 2017,1,4,0.67,9,4,0.5,11,4,0.5,2A,4,0.5,7.07,9.11,83.82,23.96,5.66,70.38,,,,63.5,11.53,24.98,26-Oct-17,102700,195.9,55,77.03
H06A2,H06,N,H06A,F56,bHR,HR NIL + SD,NIL,SD,3392.023793,22.43268248,3.790405924,10.46823212,40.65759857,48.87416931,2.452619926,0,32.49,67.51,23.33645736,76.66354264,19 - 22 Oct 2017,4,4,0.83,8,4,0.5,19,4,0.5,18,4,0.67,5.19,5.86,88.96,26.62,3.67,69.71,6.58,35.9,57.52,33.22,2.05,64.72,26-Oct-17,53000,165.4,22.52,82.3
H06B1,H06,N,H06B,F56,bHR,HR NIL + SD,NIL,SD,3866.540517,24.05110522,20.03344515,8.260885561,57.60325354,34.13586089,0.613156654,0,49.66,50.34,26.54867257,73.45132743,19 - 22 Oct 2017,6,4,1.83,7,4,0.5,20,4,0.58,14,4,3,0,2.67,97.33,33.14,0,66.86,,,,46.12,1.13,52.74,26-Oct-17,19900,415.65,12.84,92.95
H06B2,H06,N,H06B,F56,bHR,HR NIL + SD,NIL,SD,3600.964138,17.05223134,20.78037572,7.636564915,68.32777586,24.03565922,2.697883256,0,59.59,40.41,5.763335377,94.23666462,19 - 22 Oct 2017,7,4,0.67,6,4,1.5,1,4,3.33,20,4,0.17,6.73,9.33,83.94,8.42,2.8,88.78,,,,23.18,13.81,63.01,26-Oct-17,63540,269.1,38.83,68.25
H06B3,H06,N,H06B,F56,bHR,HR NIL + SD,NIL,SD,3990.71931,9.376018981,10.88071118,11.31549815,56.82264371,31.86185815,3.50057024,0,50.15,49.85,49.51768489,50.48231511,19 - 22 Oct 2017,8,4,0.5,4,4,1.5,18,4,1,19,4,0.17,0,21.42,78.58,,,,11.38,0,88.62,20.3,25.51,54.19,26-Oct-17,241500,353.75,7.245,39.37
H07A1,H07,N,H07A,F56,bHR,HR NIL,NIL,NIL,4353.681379,7.658021802,3.890741379,15.050151,48.03794018,36.91190882,1.248607846,0,41.09,58.91,17.8396072,82.1603928,,,,,,,,,,,,,,,,,,,,,,,,,,26-Oct-17,60370,959.85,82.7,110.9
H07A2,H07,N,H07A,F56,bHR,HR NIL,NIL,NIL,4903.598966,11.80415996,8.807145222,12.21851724,46.24293889,41.53854386,0.724636033,0,43.29,56.71,15.70247934,84.29752066,,,,,,,,,,,,,,,,,,,,,,,,,,26-Oct-17,127600,696.7,13.79,39.75
H07B1,H07,N,H07B,F56,bHR,HR NIL,NIL,NIL,3157.232931,15.74287084,2.497212347,15.050151,48.03794018,36.91190882,0.022296545,0,0,100,78.57686454,21.42313546,,,,,,,,,,,,,,,,,,,,,,,,,,26-Oct-17,96550,489,4.804,62.85
H07B2,H07,N,H07B,F56,bHR,HR NIL,NIL,NIL,5377.775345,14.38165253,18.3389131,12.21851724,46.24293889,41.53854386,0.167336017,0,45.24,54.76,88.46798525,11.53201475,,,,,,,,,,,,,,,,,,,,,,,,,,26-Oct-17,115600,697.25,24.84,59.11
H09-1 A1,H09-1,N,H09-1A,F49,bHR,HR NIL,NIL,NIL,4880.042,13.3046058,5.590893652,9.775694967,64.1781047,26.04620033,15.9022446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jan-16,,,,
H09-1 A2,H09-1,N,H09-1A,F49,bHR,HR NIL,NIL,NIL,4315.54,9.480134485,18.74790697,13.42484131,60.52895903,26.04619966,4.317269456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jan-16,,,,
H09-1 B1,H09-1,N,H09-1B,F49,bHR,HR NIL,NIL,NIL,4097.672,8.358701676,17.87746861,16.59973277,46.18473908,37.21552815,7.365249097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jan-16,,,,
H09-1 B2,H09-1,N,H09-1B,F49,bHR,HR NIL,NIL,NIL,3108.1,4.809907657,14.95983916,48.09236904,24.26372178,27.64390918,6.62872489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jan-16,,,,
H09-1 C1,H09-1,N,H09-1C,F49,bHR,HR NIL,NIL,NIL,4434.52,10.90529803,17.93842053,28.05490505,31.43622475,40.5088702,4.1178439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jan-16,,,,
H09-1 C2,H09-1,N,H09-1C,F49,bHR,HR NIL,NIL,NIL,4479.848,6.306486786,9.005691384,11.61700716,54.43588911,33.94710373,6.425702093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jan-16,,,,
H10A1,H10,N,H10A,F49,bHR,HR EC + SD,EC,SD,3688.665,28.92377375,31.938399,16.19812575,53.0789822,30.72289205,3.548710555,,,,,,1/1 - 4/1 2016,19,4,0.6,11,4,8.5,6,4,2.15,15,4,8.25,11.42857143,2.857142857,85.71428571,5.190311419,3.806228374,91.00346021,16.03053435,2.290076336,81.67938931,12.93859649,0.219298246,86.84210526,8-Jan-16,,,,
H10A2,H10,N,H10A,F49,bHR,HR EC + SD,EC,SD,3824.676,10.94755988,39.80582503,11.11483056,67.52594569,21.35922375,4.451137128,,,,,,1/1 - 4/1 2016,18,4,12.67,10,2,15,5,4,0.97,14,4,1.62,1.960784314,4.481792717,93.55742297,0.23255814,1.860465116,97.90697674,8,7,85,20,15.2,64.8,8-Jan-16,,,,
H10B1,H10,N,H10B,F49,bHR,HR EC + SD,EC,SD,3678.972,7.773326409,36.91432396,11.71744194,60.76330664,27.51925142,2.946099839,,,,,,1/1 - 4/1 2016,15,4,1.65,8,4,6.17,19,4,0.6,11,4,6.97,10.23622047,1.57480315,88.18897638,10.30042918,22.31759657,67.38197425,17.39130435,4.347826087,78.26086957,10.65989848,26.39593909,62.94416244,8-Jan-16,,,,
H10B2,H10,N,H10B,F49,bHR,HR EC + SD,EC,SD,3707.225,20.5918822,49.38065077,13.39136294,57.3150302,29.29360686,4.752343319,,,,,,1/1 - 4/1 2016,14,4,2.67,7,4,3.28,18,4,7.17,10,2,15,1.923076923,1.442307692,96.63461538,11.40939597,2.684563758,85.90604027,3.012048193,6.024096386,90.96385542,1.346153846,8.653846154,90,8-Jan-16,,,,
H11A1,H11,N,H11A,F53,bHR,HR EC + SD,EC,SD,1178.066265,27.54497306,13.667796,0,89.66430741,10.33569259,10.10145034,21.94,56.44,21.63,57.5,42.5,30/1 - 2/2 2017,18,4,8.67,9,4,13.5,3,4,3.22,17,4,0.5,0.168,12.005,87.827,0.176,16.593,83.231,0,24.578,75.422,0,64.653,35.347,6-Feb-17,,,,
H11A2,H11,N,H11A,F53,bHR,HR EC + SD,EC,SD,1032.469332,29.34639188,0.078037907,18.33390767,46.57089231,35.09520002,0.368016407,8.97,35.97,55.06,70,30,30/1 - 2/2 2017,20,4,1.5,10,4,8.17,4,4,0.43,16,1,15,8.51,4.27,87.22,0.522,10.115,89.363,9.49,44.901,45.609,0.351,1.133,98.515,6-Feb-17,,,,
H11A3,H11,N,H11A,F53,bHR,HR EC + SD,EC,SD,2460.00011,21.96916201,32.09587387,15.03901377,50.14498473,34.8160015,11.5941966,22.52,25.64,51.84,5.856832972,94.14316703,30/1 - 2/2 2017,1,4,6.5,20,4,3.5,8,4,3.68,4,4,0.75,0,2.58,97.42,1.092,39.175,59.734,3.586,13.09,83.325,0,52.897,47.103,6-Feb-17,,,,
H11B1,H11,N,H11B,F53,bHR,HR EC,EC,NIL,4192.371303,10.76150068,45.50714556,11.11482724,59.54307234,29.34210042,0,19.68,30.68,49.64,27.94117647,72.05882353,,,,,,,,,,,,,,,,,,,,,,,,,,6-Feb-17,,,,
H11B2,H11,N,H11B,F53,bHR,HR EC,EC,NIL,3408.746988,9.259954634,17.11261317,8.985508216,57.46947294,33.54501885,0,17.7,30.71,51.6,29.09090909,70.90909091,,,,,,,,,,,,,,,,,,,,,,,,,,6-Feb-17,,,,
H11B3,H11,N,H11B,F53,bHR,HR EC,EC,NIL,3351.466594,3.498825507,12.05129148,17.65887283,39.00774924,43.33337793,0,6.43,29.06,64.51,36.36363636,63.63636364,,,,,,,,,,,,,,,,,,,,,,,,,,6-Feb-17,,,,
H12A1,H12,N,H12A,F53,bHR,HR EE + SD,EE,SD,5083.5336,6.068748355,16.14270377,6.711271351,79.27537734,14.0133513,41.88403228,54.81,20.7,24.49,60.74074074,39.25925926,1/2 - 4/2 2017,20,4,0.67,1,1,15,8,4,1.73,3,4,3,12.982,65.812,21.205,0.26,2.873,96.867,0.747,13.797,85.456,0,38.299,61.701,8-Feb-17,121900,326.65,,8.463
H12A2,H12,N,H12A,F53,bHR,HR EE + SD,EE,SD,4601.7658,1.311208565,11.77255959,3.645488082,85.6075479,10.74696402,41.04790349,47.67,30.83,21.5,64.40677966,35.59322034,1/2 - 4/2 2017,18,4,4.33,2,4,11.83,9,4,0.73,4,4,0.52,5.073,7.44,87.487,1.534,10.688,87.778,0,34.066,65.934,6.418,33.222,60.36,8-Feb-17,123400,1060.4,,16.73
H12A3,H12,N,H12A,F53,bHR,HR EE + SD,EE,SD,5181.1594,6.343655966,33.31103657,6.622073131,73.91311619,19.46481068,13.29989933,18.71,49.13,32.16,15.6462585,84.3537415,1/2 - 4/2 2017,17,2,15,3,4,1.5,4,4,4.6,12,4,4.83,0.298,8.779,90.923,0,21.929,78.071,0.826,18.268,80.907,0.633,27.959,71.408,8-Feb-17,142300,1037.1,9.988,93.75
H12B1,H12,N,H12B,F53,bHR,HR EE,EE,NIL,5040.4359,3.337121592,20.83612879,6.064676234,69.44250277,24.492821,24.52619926,34.48,31.67,33.85,30.04694836,69.95305164,,,,,,,,,,,,,,,,,,,,,,,,,,8-Feb-17,132000,208.4,4.13,30.45
H12B2,H12,N,H12B,F53,bHR,HR EE,EE,NIL,4216.2691,0.750228621,17.21294862,0.780379067,90.06678997,9.152830965,42.94324023,57.61,25.54,16.85,21.34831461,78.65168539,,,,,,,,,,,,,,,,,,,,,,,,,,8-Feb-17,82690,743.4,43.36,27.84
H12B3,H12,N,H12B,F53,bHR,HR EE,EE,NIL,3597.8932,5.801332909,23.41137202,4.091412288,81.49379425,14.41479346,18.80714522,34.26,43.84,21.9,3.282828283,96.71717172,,,,,,,,,,,,,,,,,,,,,,,,,,8-Feb-17,68930,1139.35,48.2,58.17
KH H01A1,H01,KH,KH_H01A,F56,bHR,HR EC,EC,NIL,3973.068449,11.64289874,5.261992595,13.06578327,63.35548517,23.57873156,0.981046633,1.31,56.5,42.19,6.392931393,93.60706861,,,,,,,,,,,,,,,,,,,,,,,,,,1-Nov-17,,,,
KH H01A2,H01,KH,KH_H01A,F56,bHR,HR EC,EC,NIL,5016.976036,3.836408223,26.84505196,9.464877574,63.84612555,26.68899688,16.53287491,17.84,43.33,38.83,4.425749817,95.57425018,,,,,,,,,,,,,,,,,,,,,,,,,,1-Nov-17,,,,
KH H01A3,H01,KH,KH_H01A,F56,bHR,HR EC,EC,NIL,5005.15207,2.712823144,14.6042268,47.64763526,29.82163701,22.53072773,21.52730629,22.38,6.94,70.68,15.04660453,84.95339547,,,,,,,,,,,,,,,,,,,,,,,,,,1-Nov-17,,,,
