Rat_ID,Litter,From Kathryn or not  (Kathryn may not have culled on P1),Cage (pair-housed_ if uneven last three together),Generation,Line,"Treatment_group (EC=Enriched Cage Control, EE=Environmental Enrichment, NIL=Standard Housing, SD=Social Defeat)",Enrichment,Social_Defeat,distance_open_field ,time_centre_open_field,time_open_arms_EPM,time_social_avoidance_Ethovision,time_social_interaction_EthoVision,time_other_areas_in_SI_Test_EthoVision,time_on_top_of_stimulus_animal_Ethovision,time_on_top_of_stimulus_animal_Video,time_approaching_stimulus_animal_Video,time_other_behav_in_SI_Test_Video,cranky_USVs,happy_USVs,SD Dates,D1 Aggressor ID,SD d1 score,SD d1 time caged (min),D2 Aggressor ID,SD d2 score,SD d2 time caged (min),D3 Aggressor ID,SD d3 score,SD d3 time caged (min),D4 Aggressor ID,SD d4 score,SD d4 time caged (min),SUB_DefeatDay1,AGG_DefeatDay1,OTHER_DefeatDay1,SUB_DefeatDay2,AGG_DefeatDay2,OTHER_DefeatDay2,SUB_DefeatDay3,AGG_DefeatDay3,OTHER_DefeatDay3,SUB_DefeatDay4,AGG_DefeatDay4,OTHER_DefeatDay4,date_of_sac,CORT,testosterone,Oxytocin (pg/ml),IL-6 (pg/ml)
L08 A2,L08,N,L08A,F56,bLR,LR NIL + SD,NIL,SD,1380.692,13.33425712,1.014491784,40.83619568,0,59.16380432,0,0,0,100,26.09040444,73.90959556,21 - 24 Oct 2017,4,4,0.5,11,4,0.5,19,4,0.17,8,4,0.08,6.85,6.13,87.02,14.58,0,85.42,72.09,0,27.91,50.91,0,49.09,28-Oct-17,149800,1392,23.79,72.23
L08 B1,L08,N,L08B,F56,bLR,LR NIL + SD,NIL,SD,1187.777,8.041756179,3.099218387,0,98.98560855,1.014391449,0,0,85.84,14.16,54.36065574,45.63934426,21 - 24 Oct 2017,6,4,1.5,2A,2,15,20,4,0.17,9,4,0.17,4.44,3.57,92,10.87,1.63,87.5,31,20.91,48.09,48.28,0,51.72,28-Oct-17,285700,1062,79.81,48.03
L08 B2,L08,N,L08B,F56,bLR,LR NIL + SD,NIL,SD,1802.95,8.105681436,6.421402221,59.17517567,0.434783627,40.3900407,0,0,0,100,38.25387708,61.74612292,21 - 24 Oct 2017,7,4,1,1,4,1,14,4,1,11,4,0.08,31.79,0,68.21,,,,67.27,0,32.73,75.64,0,24.36,28-Oct-17,493300,1473,26.37,46.62
L08 C1,L08,N,L08C,F56,bLR,LR NIL + SD,NIL,SD,711.9217,7.083248333,5.5369501,95.20630642,0,4.793693582,0,0,0,100,15.16822945,84.83177055,21 - 24 Oct 2017,8,4,0.17,4,4,0.5,18,2,15,19,4,0.5,57.93,11.43,30.64,40.1,0,59.9,52.42,0,47.58,67.09,0,32.91,28-Oct-17,1064000,825.1,44.22,52.07
L08 C2,L08,N,L08C,F56,bLR,LR NIL + SD,NIL,SD,880.1256,0.2499975,7.123750406,98.51737643,0,1.482623571,0,0,0,100,37.91982665,62.08017335,21 - 24 Oct 2017,9,4,0.17,6,4,7,2A,4,0.17,20,5,0.08,17.6,0,82.4,64.52,0,35.48,13.85,13.6,72.55,,,,28-Oct-17,283100,1674,37.07,17.41
L08 D1,L08,N,L08D,F56,bLR,LR NIL + SD,NIL,SD,1232.883,5.840121252,0,79.39812105,2.931995973,17.66988298,0,0,2.2,97.8,44.0821256,55.9178744,21 - 24 Oct 2017,11,5,0.17,7,4,0.83,1,4,2,14,5,0.08,0,40.52,59.48,26.17,0,73.83,60.97,0,39.03,10.99,37.18,51.83,28-Oct-17,651200,851.5,29.54,18.66
L08 D2,L08,N,L08D,F56,bLR,LR NIL + SD,NIL,SD,1746.14,19.3588037,8.260885561,76.15394134,0,23.84605866,0,0,0,100,52.56916996,47.43083004,21 - 24 Oct 2017,19,5,0.17,8,4,0.17,4,4,0.17,18,4,1,0,36.93,63.07,61.85,0,38.15,59.56,0,40.44,26.86,0,73.14,28-Oct-17,567900,1687,15.02,5.58
L08-1 A1,L08-1,N,L08-1A,F49,bLR,LR EE,EE,NIL,299.8416,0.75075,1.138265353,9.404283459,61.0107099,29.58500664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Jan-16,,,,
L08-1 A2,L08-1,N,L08-1A,F49,bLR,LR EE,EE,NIL,299.9876,0.208541667,4.050887154,96.65215935,0,3.347840651,0.435073529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Jan-16,,,,
L08-1 B1,L08-1,N,L08-1B,F49,bLR,LR EE,EE,NIL,117.7816,0,5.289588295,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Jan-16,,,,
L08-1 B2,L08-1,N,L08-1B,F49,bLR,LR EE,EE,NIL,922.7164,0.3336675,4.218279354,98.49397607,0,1.506023933,1.037830568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Jan-16,,,,
L08-1 C1,L08-1,N,L08-1C,F49,bLR,LR EE,EE,NIL,267.5972,0,3.180448785,8.400267727,57.26238298,34.33734929,0.702811213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Jan-16,,,,
L08-1 C2,L08-1,N,L08-1C,F49,bLR,LR EE,EE,NIL,921.3311,7.716041667,6.05756357,3.916973662,82.42383675,13.65918959,1.673359777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Jan-16,,,,
L08-2 A1,L08-2,N,L08-2A,F49,bLR,LR EE + SD,EE,SD,711.7866,1.5015,0.334672022,5.189152841,62.43722797,32.37361919,0,,,,,,3/1 - 6/1 2016,19,4,0.33,8,4,1.67,15,2,15,6,4,0.17,10.63829787,6.382978723,82.9787234,38.68613139,0,61.31386861,,,,63.88888889,0,36.11111111,10-Jan-16,,,,
L08-2 A2,L08-2,N,L08-2A,F49,bLR,LR EE + SD,EE,SD,1210.572,2.385159455,11.91831252,8.168731388,24.27184455,67.55942406,2.075661471,,,,,,3/1 - 6/1 2016,18,4,1,7,2,15,14,2,15,5,2,15,17.94871795,0,82.05128205,23.00578035,0.578034682,76.41618497,,,,26.66666667,1.568627451,71.76470588,10-Jan-16,,,,
